geocodigo,edad,poblacion
03101211002,0 a 5,163
03101211003,0 a 5,315
03101211004,0 a 5,287
03101211005,0 a 5,350
03101211006,0 a 5,514
03101211007,0 a 5,199
03101212032,0 a 5,0
03101212039,0 a 5,0
03101212050,0 a 5,0
03101212901,0 a 5,6
03101222015,0 a 5,0
03101222048,0 a 5,0
03101231001,0 a 5,180
03101231002,0 a 5,332
03101231003,0 a 5,474
03101231004,0 a 5,202
03101231005,0 a 5,326
03101241001,0 a 5,370
03101241002,0 a 5,499
03101241003,0 a 5,168
03101241004,0 a 5,251
03101241005,0 a 5,349
03101991999,0 a 5,0
03102011001,0 a 5,35
03102011002,0 a 5,85
03102011003,0 a 5,279
03102011007,0 a 5,393
03102012001,0 a 5,0
03102012004,0 a 5,4
03102012901,0 a 5,0
03102022009,0 a 5,0
03102022010,0 a 5,14
03102022901,0 a 5,0
03102032003,0 a 5,0
03102032007,0 a 5,0
03102042002,0 a 5,0
03102042003,0 a 5,0
03102991999,0 a 5,13
03103011001,0 a 5,391
03103011002,0 a 5,114
03103011003,0 a 5,161
03103012002,0 a 5,0
03103012003,0 a 5,0
03103012022,0 a 5,55
03103012029,0 a 5,0
03103022024,0 a 5,0
03103022901,0 a 5,0
03103032006,0 a 5,0
03103032009,0 a 5,0
03103032014,0 a 5,0
03103032019,0 a 5,0
03103032025,0 a 5,0
03103032026,0 a 5,0
03103032027,0 a 5,0
03103042001,0 a 5,13
03103042009,0 a 5,9
03103042010,0 a 5,0
03103042028,0 a 5,0
03103042031,0 a 5,0
03103042901,0 a 5,0
03103052013,0 a 5,0
03103052020,0 a 5,89
03103052021,0 a 5,0
03103052901,0 a 5,0
03103062008,0 a 5,0
03103062011,0 a 5,0
03103062016,0 a 5,0
03103062021,0 a 5,0
03103062030,0 a 5,0
03103062901,0 a 5,0
03103072004,0 a 5,0
03103072012,0 a 5,0
03103072018,0 a 5,0
03103072023,0 a 5,0
03103072901,0 a 5,0
03103991999,0 a 5,0
03201011001,0 a 5,296
03201011002,0 a 5,61
03201011003,0 a 5,178
03201011004,0 a 5,55
03201011005,0 a 5,14
03201011006,0 a 5,26
03201012002,0 a 5,0
03201012003,0 a 5,0
03201012005,0 a 5,0
03201012011,0 a 5,0
03201012901,0 a 5,0
03201022001,0 a 5,0
03201022002,0 a 5,0
03201022006,0 a 5,67
03201022013,0 a 5,0
03201022014,0 a 5,0
03201022017,0 a 5,0
03201022018,0 a 5,0
03201022901,0 a 5,0
03201032004,0 a 5,0
03201032007,0 a 5,5
03201032008,0 a 5,0
03201032009,0 a 5,0
03201032010,0 a 5,0
03201032012,0 a 5,0
03201032015,0 a 5,0
03201032016,0 a 5,0
03201032019,0 a 5,0
03201032020,0 a 5,0
03201032901,0 a 5,0
03201991999,0 a 5,0
03202011001,0 a 5,70
03202011002,0 a 5,88
03202011003,0 a 5,127
03202012003,0 a 5,0
03202012005,0 a 5,0
03202012011,0 a 5,0
03202012015,0 a 5,0
03202012018,0 a 5,0
03202012020,0 a 5,0
03202012023,0 a 5,0
03202012901,0 a 5,0
03202021001,0 a 5,51
03202021002,0 a 5,167
03202021003,0 a 5,85
03202022007,0 a 5,0
03202022901,0 a 5,30
03202032010,0 a 5,0
03202032901,0 a 5,0
03202042003,0 a 5,0
03202042006,0 a 5,0
03202042008,0 a 5,0
03202042009,0 a 5,0
03202042017,0 a 5,0
03202042021,0 a 5,0
03202042901,0 a 5,0
03301011001,0 a 5,148
03301021001,0 a 5,159
03301021002,0 a 5,138
03301031001,0 a 5,112
03301031002,0 a 5,123
03301031003,0 a 5,230
03301031004,0 a 5,141
03301032005,0 a 5,4
03301032017,0 a 5,0
03301032031,0 a 5,0
03301032901,0 a 5,0
03301041001,0 a 5,391
03301041002,0 a 5,178
03301042005,0 a 5,0
03301042060,0 a 5,19
03301042901,0 a 5,0
03301051001,0 a 5,494
03301051002,0 a 5,238
03301051003,0 a 5,462
03301051004,0 a 5,390
03301052002,0 a 5,63
03301052006,0 a 5,0
03301052008,0 a 5,0
03301052010,0 a 5,18
03301052014,0 a 5,4
03301052028,0 a 5,53
03301052036,0 a 5,52
03301052038,0 a 5,0
03301052063,0 a 5,11
03301062024,0 a 5,0
03301062042,0 a 5,0
03301062901,0 a 5,0
03301072901,0 a 5,0
03301082012,0 a 5,77
03301082045,0 a 5,0
03301082901,0 a 5,13
03301092035,0 a 5,0
03301092043,0 a 5,0
03301092901,0 a 5,7
03301102018,0 a 5,0
03301102023,0 a 5,0
03301102044,0 a 5,0
03301102901,0 a 5,0
03301112021,0 a 5,0
03301112039,0 a 5,0
03301112901,0 a 5,0
03301122004,0 a 5,0
03301122009,0 a 5,19
03301122025,0 a 5,0
03301122030,0 a 5,22
03301122032,0 a 5,4
03301122033,0 a 5,5
03301122055,0 a 5,0
03301122059,0 a 5,0
03301122061,0 a 5,0
03301122062,0 a 5,0
03301122901,0 a 5,0
03301132011,0 a 5,0
03301132026,0 a 5,16
03301132901,0 a 5,0
03301152010,0 a 5,15
03301152024,0 a 5,0
03301152032,0 a 5,0
03301152051,0 a 5,0
03301152056,0 a 5,0
03301152901,0 a 5,7
03301991999,0 a 5,49
03302012002,0 a 5,0
03302012005,0 a 5,0
03302012016,0 a 5,0
03302012029,0 a 5,0
03302022005,0 a 5,33
03302032005,0 a 5,28
03302032018,0 a 5,55
03302032028,0 a 5,0
03302042005,0 a 5,42
03302042020,0 a 5,0
03302052005,0 a 5,12
03302062022,0 a 5,0
03302062032,0 a 5,0
03302062901,0 a 5,0
03302072003,0 a 5,4
03302072009,0 a 5,0
